feeder number  value                                  package                            file
                                                                                         DBSens-1-0
1700           1MOHM5%                                R0805                              Text files
1701           1OHM5%                                 R0805                              Text files
0742           1PF                                    CC0805                             Text files
1800           1PF+5%50V                              C0805                              Text files
1382           1UF                                    C0805                              Text files
1795           1UF+10%50V                             C0603                              Text files
1819           1UF+10%50V                             C0805                              Text files
0074           2                                      VIAINDUCTOR                        Text files
0018           2.2                                    0805                               Text files
0079           2.2                                    CC0805                             Text files
0127           2.2                                    0603                               Text files
0548           2.2                                    C0805                              Text files
0682           2.2                                    CC0805NT                           Text files
0316           2.2M                                   RC0805                             Text files
1008           2.2M                                   0805                               Text files
0380           2.2M1%                                 RC0805                             Text files
1012           2.2M1%                                 0805                               Text files
1645           2.2MOHM1%                              R0805                              Text files
1613           2.2MOHM5%                              R0603                              Text files
1702           2.2MOHM5%                              R0805                              Text files
1766           2.2OHM5%                                                                  Text files
1383           2.2UF                                  C0805                              Text files
1789           2.2UF+10%50V                           C0603                              Text files
1820           2.2UF+10%50V                           C0805                              Text files
0663           2.4K                                   RC0805                             Text files
0051           2.4K1%                                 0805                               Text files
0097           2.4K1%                                 RC0805                             Text files
1646           2.4KOHM1%                              R0805                              Text files
0471           2.5                                    SR0603                             Text files
0621           2.5                                    CDRH5D28NP                         Text files
0997           2.5UH                                  SR0603                             Text files
1710           2®HM5%                                 R0805                              Text files
1748           200                                                                       Text files
0006           200E                                   0805                               Text files
0169           200E                                   0603                               Text files
0315           200E                                   RC0805                             Text files
0576           200E                                   R0805                              Text files
0729           200E0.1%                               RC0805                             Text files
0414           200E1%                                 RC0805                             Text files
0611           200K                                   RC1206                             Text files
0662           200K                                   RC0805                             Text files
1005           200K                                   0805                               Text files
0353           200K1%                                 RC0805                             Text files
0568           200K1%                                 R0805                              Text files
1000           200K1%                                 0805                               Text files
1647           200KOHM1%                              R0805                              Text files
1703           200KOHM5%                              R0805                              Text files
1733           200KOHM5%                              R1206                              Text files
1628           200OHM0.1%                             R0805                              Text files
1648           200OHM1%                               R0805                              Text files
1614           200OHM5%                               R0603                              Text files
1704           200OHM5%                               R0805                              Text files
0676           20E                                    RC0805                             Text files
0005           20K                                    0805                               Text files
0090           20K                                    RC0805                             Text files
0151           20K                                    0603                               Text files
0572           20K                                    R0805                              Text files
0691           20K                                    RC0805NT                           Text files
0057           20K1%                                  0805                               Text files
0104           20K1%                                  RC0805                             Text files
0153           20K1%                                  0603                               Text files
0561           20K1%                                  R0805                              Text files
1601           20KOHM1%                               R0603                              Text files
1649           20KOHM1%                               R0805                              Text files
1615           20KOHM5%                               R0603                              Text files
1705           20KOHM5%                               R0805                              Text files
1706           20OHM5%                                R0805                              Text files
1729           20OHM5%                                R1206                              Text files
0020           20PF                                   0805                               Text files
0132           20PF                                   0603                               Text files
0284           20PF                                   CC0805                             Text files
0650           20PF                                   CC0603                             Text files
1785           20PF+5%50V                             C0603                              Text files
1801           20PF+5%50V                             C0805                              Text files
0511           22                                     ATYPE                              Text files
0226           22.0                                   ATYPE                              Text files
0439           22.0                                   CTYPE                              Text files
0426           22.0X16V                               CTYPE                              Text files
1749           220                                                                       Text files
0198           2200PF                                 0805                               Text files
0333           2200PF                                 CC0805                             Text files
1389           2200PF                                 C1812                              Text files
1826           2200PF50V5%LDECC1220KA5N               C1812                              Text files
1400           2200UF25V                                                                 Text files
1384           2200РF                                 C0805                              Text files
1821           2200РF+10%50V                          C0805                              Text files
0963           220E                                   RC0805                             Text files
0019           220PF                                  0805                               Text files
0595           220PF                                  CC0805                             Text files
1802           220PF+5%50V                            C0805                              Text files
1396           220UF6.3V                                                                 Text files
1827           2220PPS0.47UF10%63V                    SMW5.7                             Text files
0964           22E                                    RC0805                             Text files
0115           22E1%                                  RC0805                             Text files
0172           22E1%                                  0603                               Text files
0212           22E1%                                  0805                               Text files
0965           22K                                    RC0805                             Text files
0016           22MH                                   CDRH5D28NP                         Text files
1650           22OHM1%                                R0805                              Text files
1408           22UF                                   ATYPE                              Text files
1750           240                                                                       Text files
0215           240K                                   0805                               Text files
0460           240K                                   RC0805                             Text files
0236           240K1%                                 0805                               Text files
0933           240K1%                                 RC0805                             Text files
1651           240KOHM1%                              R0805                              Text files
1616           240KOHM5%                              R0603                              Text files
1707           240KOHM5%                              R0805                              Text files
0300           24K1%                                  RC0805                             Text files
1001           24K1%                                  0805                               Text files
1652           24KOHM1%                               R0805                              Text files
0349           25.5K1%                                RC0805                             Text files
1653           25.5KOHM1%                             R0805                              Text files
1833           25V                                    ТИПD293D476X9025D2TE3              Text files
1751           270                                                                       Text files
0540           270K                                   RC0805                             Text files
0298           270K1%                                 RC0805                             Text files
1654           270KOHM1%                              R0805                              Text files
0372           27E                                    RC2010                             Text files
0338           27K1%                                  RC0805                             Text files
1655           27KOHM1%                               R0805                              Text files
1741           27OHM                                                                     Text files
1738           27OHM5%                                R2010                              Text files
0412           2E                                     RC0805                             Text files
1083           2E                                     0805                               Text files
0053           2K                                     0805                               Text files
0096           2K                                     RC0805                             Text files
0213           2K1%                                   0805                               Text files
0378           2K1%                                   RC0805                             Text files
1656           2KOHM1%                                R0805                              Text files
1708           2KOHM5%                                R0805                              Text files
0960           2M                                     RC0805                             Text files
0961           2M1%                                   RC0805                             Text files
1709           2MOHM5%                                R0805                              Text files
0283           2PF                                    CC0805                             Text files
1367           2PF                                    C0805                              Text files
1803           2PF+5%50V                              C0805                              Text files
0073           3                                      VIAINDUCTOR                        Text files
1760           3.0                                                                       Text files
0166           3.01K1%                                0603                               Text files
0330           3.01K1%                                RC0805                             Text files
0564           3.01K1%                                R0805                              Text files
1040           3.01K1%                                RC0805NT                           Text files
1069           3.01K1%                                0805                               Text files
1657           3.01KOHM1%                             R0805                              Text files
1762           3.65KOHM1%                                                                Text files
0472           3.9K                                   RC0805                             Text files
0431           3.9K1%                                 RC0805                             Text files
1658           3.9KOHM1%                              R0805                              Text files
1752           300                                                                       Text files
0009           300E                                   0805                               Text files
0542           300E                                   RC0805                             Text files
0217           300E1%                                 0805                               Text files
0413           300E1%                                 RC0805                             Text files
0210           300K                                   0805                               Text files
0317           300K                                   RC0805                             Text files
0188           300K1%                                 0603                               Text files
0276           300K1%                                 RC0805                             Text files
1065           300K1%                                 0805                               Text files
1603           300KOHM1%                              R0603                              Text files
1659           300KOHM1%                              R0805                              Text files
1617           300KOHM5%                              R0603                              Text files
1711           300KOHM5%                              R0805                              Text files
1602           300OHM1%                               R0603                              Text files
1660           300OHM1%                               R0805                              Text files
1712           300OHM5%                               R0805                              Text files
0425           300PF                                  CC0805                             Text files
1368           300PF                                  C0805                              Text files
1804           300PF+5%50V                            C0805                              Text files
0257           30E                                    RC0805                             Text files
0574           30E                                    R0805                              Text files
1009           30E                                    0805                               Text files
0474           30K                                    RC0805                             Text files
1004           30K                                    0805                               Text files
0189           30K1%                                  0603                               Text files
0254           30K1%                                  RC0805                             Text files
1002           30K1%                                  0805                               Text files
1604           30KOHM1%                               R0603                              Text files
1661           30KOHM1%                               R0805                              Text files
1713           30KOHM5%                               R0805                              Text files
